Teszteset;Bemeneti paraméterek / Feltételek;Várt eredmény;Kapott eredmény;Státusz
GET /szakok;-;Szakok listája;Szakok listája;HTTP 200
POST /uj-jelentkezo;név, email, tel, szakok, [portfólió];Jelentkező rögzítése és email küldése;Jelentkező rögzítése és email küldése;HTTP 201
POST /uj-jelentkezo (hibás);Hiányzó mező (pl. email);Validációs hiba;Validációs hiba;HTTP 422
GET /szakok-szama/{id};jelentkező ID;Jelentkezések száma;Jelentkezések száma;HTTP 200
GET /jelentkezo-adatai/{email};jelentkező email;Jelentkező törzsadatai;Jelentkező törzsadatai;HTTP 200
POST /torzsadat-feltolt;Törzsadatok, email;Törzsadatok feltöltése;Törzsadatok feltöltése;HTTP 201
PATCH /torzsadat-frissit/{id};jelentkező ID, friss adatok;Törzsadatok módosítása;Törzsadatok módosítása;HTTP 200
POST /dokumentumok-feltolt;Dokumentum(ok);Dokumentum feltöltése;Dokumentum feltöltése;HTTP 200
GET /dokumentumok;-;Jelentkező dokumentumai;Jelentkező dokumentumai;HTTP 200
DELETE /dokumentumok;dokumentum ID;Dokumentum törlése;Dokumentum törlése;HTTP 200
GET /nyilatkozat-letoltes/{év};Év (pl. 2025);Nyilatkozat letöltése (PDF);Nyilatkozat letöltése;HTTP 200
GET /jelentkezesek/{jelentkezo};Jelentkező ID;Jelentkezések listája;Jelentkezések listája;HTTP 200
PATCH /jelentkezesek/sorrend/{jelentkezo}/{beiratkozik};jelentkező ID + sorrend;Sorrend frissítése;Sorrend frissítése;HTTP 200
GET /jelentkezes-allapot/{email};jelentkező email;Jelentkezés állapotok;Jelentkezés állapotok;HTTP 200
PATCH /allapot-valtozas;jelentkező ID, szak ID, állapot;Állapot módosítása;Állapot módosítása;HTTP 200
PATCH /allapot-valtozas (hibás);hibás ID vagy állapot;Validációs hiba;Validációs hiba;HTTP 422
PATCH /jelentkezes-eldontese/{id}/{ujAllapot};Jelentkezés ID, új állapot;Állapot frissítése;Állapot frissítése;HTTP 200
PATCH /jelentkezok-archivalas/{email};jelentkező email;Jelentkezések archiválása;Jelentkezések archiválása;HTTP 200
GET /jelentkezok;-;Jelentkezők listája;Jelentkezők listája;HTTP 200
POST /nyilatkozat-feltoltes;év, docx fájl;Nyilatkozat feltöltése;Nyilatkozat feltöltése;HTTP 201
POST /modositas-kerelem-email;jelentkező email;Email küldése;Email küldése;HTTP 200
POST /portfolio-osszegzo/{id};portfolio ID;Portfólió összegző email;Portfólió összegző email;HTTP 200
PATCH /portfolio/{id};portfolio ID + állapot;Portfólió frissítése;Portfólió frissítése;HTTP 200
GET /szakra-jelentkezett/{szak};szak ID;Jelentkezők adott szakra;Jelentkezők adott szakra;HTTP 200
GET /jelentkezok-szama/{szak};szak ID;Jelentkezők száma szakra;Jelentkezők száma;HTTP 200
GET /nappali-jelentkezok;-;Nappali jelentkezők;Nappali jelentkezők;HTTP 200
GET /esti-jelentkezok;-;Esti jelentkezők;Esti jelentkezők;HTTP 200
GET /tagozat-jelentkezok/{szam};tagozat szám (0/1);Adott tagozatra jelentkezők;Adott tagozatra jelentkezők;HTTP 200
GET /statusz-elfogadva;-;Elfogadott jelentkezők szakonként;Elfogadott jelentkezők;HTTP 200
GET /jelentkezok-szama-statisztika;-;Jelentkezők száma szakonként;Jelentkezők száma szakonként;HTTP 200
GET /jelentkezok-tagozatra-szakra-bontva;-;Tagozatonkénti szakbontás;Tagozatonkénti szakbontás;HTTP 200
GET /jelentkezok-tagozatra-bontva;-;Nappali/esti összesítés;Tagozatonkénti bontás;HTTP 200
GET /jelentkezok-osszesen-elfogadva;-;Elfogadottak összesen;Elfogadottak összesen;HTTP 200
GET /jelentkezok-szakonkent-elfogadva;-;Elfogadottak szakonként;Elfogadottak szakonként;HTTP 200
GET /jelentkezok-havi-regisztracio;-;Havi regisztrációk;Havi regisztrációk;HTTP 200
GET /jelentkezok-havi-regisztracio/{szak};szak ID;Havi regisztrációk szakonként;Havi regisztrációk szakonként;HTTP 200
POST /uj-ugyintezo;név, email, jelszó;Új ügyintéző létrehozása;Új ügyintéző létrehozása;HTTP 201
GET /ugyintezok;-;Ügyintézők listázása;Ügyintézők listázása;HTTP 200
PATCH /modosit-ugyintezo/{id};ügyintéző ID + adatok;Ügyintéző adatmódosítás;Ügyintéző adatmódosítás;HTTP 200
DELETE /delete-ugyintezo/{id};ügyintéző ID;Ügyintéző törlése;Ügyintéző törlése;HTTP 200
POST /uj-szak;szak adatok;Új szak létrehozása;Új szak létrehozása;HTTP 201
PATCH /modosit-szak/{id};szak ID + új adatok;Szak adatainak módosítása;Szak adatainak módosítása;HTTP 200
DELETE /delete-szak/{id};szak ID;Szak törlése;Szak törlése;HTTP 200
